status,p_value,morans_test_statistic,morans_I,gene_short_name,q_value
OK,0,162.89630642368553,0.7909748658426793,CPM,0
OK,0,162.14888649027142,0.7873478333385141,RGS5,0
OK,0,161.35271775850813,0.7834785653459256,TMEM132C,0
OK,0,158.19228747130077,0.7681282186424292,SLC38A11,0
OK,0,156.92398139228533,0.7619682759639311,LINC01088,0
OK,0,156.8140178466065,0.7614319140301024,GJC1,0
OK,0,153.37396585417017,0.7447219680891847,NOTCH3,0
OK,0,148.1909036151445,0.7195293964978823,PDGFRA,0
OK,0,146.54606986731173,0.711555886726521,P2RY14,0
OK,0,140.95683786567503,0.6844027729265982,HES4,0
OK,0,137.49502888376819,0.6675962308873012,GRM3,0
OK,0,136.09973261929738,0.6608120214827322,ABCC9,0
OK,0,136.07677112779805,0.6606988082827249,BICC1,0
OK,0,134.5078658476132,0.653080396399752,FLRT2,0
OK,0,133.57405947908427,0.6485361008700901,PDE8B,0
OK,0,133.3505016658361,0.6474606101295018,GPC5,0
OK,0,132.732579784413,0.6444391155104294,CYP1B1,0
OK,0,132.61274007759442,0.6438808359687713,CEMIP,0
OK,0,131.38325635654707,0.6379032004545268,NDUFA4L2,0
OK,0,124.15564399120346,0.6027913413467744,RNF220,0
OK,0,123.29350362220944,0.5986149072045791,PLCE1,0
OK,0,122.24126897136395,0.593487033191846,CLDN11,0
OK,0,121.62711768319522,0.5905217276104316,GRM8,0
OK,0,121.45067559676347,0.5896292708604811,HIGD1B,0
OK,0,120.63557709697625,0.5856540522416359,SLC6A20,0
OK,0,120.14132447412798,0.5832962696764223,COL4A3,0
OK,0,117.73412619260957,0.5715991650010964,PLD1,0
OK,0,116.95900070001045,0.56614931036245,LAMA2,0
OK,0,116.26118987237052,0.5644444345465878,COL4A4,0
OK,0,115.52800962040017,0.560889786858365,TRPC3,0
OK,0,114.30219504489668,0.5549312344756251,SLC7A14-AS1,0
OK,0,113.30052984035066,0.5500697014043757,CASC15,0
OK,0,112.94479278868262,0.548323099872855,KCNIP1,0
OK,0,112.63781264940857,0.5468527164407861,RNF152,0
OK,0,112.60287514993949,0.546624712626505,VIT,0
OK,0,108.7385833976236,0.5279041573585197,DACH1,0
OK,0,108.3812344922182,0.5261765898198384,FMO2,0
OK,0,106.51810999320928,0.5171299152559475,SLC30A10,0
OK,0,106.18592626239706,0.5154740637194524,COL6A3,0
OK,0,105.87958650105648,0.5139946283132004,SGIP1,0
OK,0,105.18034131300556,0.5105934101634511,CYSLTR2,0
OK,0,105.04235419641935,0.5099639205544059,ABLIM1,0
OK,0,104.87103575354375,0.5090856247347951,COL15A1,0
OK,0,104.02139597638353,0.5050049477545547,CLMN,0
OK,0,103.40450635320316,0.5019539165773902,LPL,0
OK,0,102.18793396726062,0.4960907060018524,PTH1R,0
OK,0,101.82592169506802,0.49433837353323423,LZTS1,0
OK,0,101.21168391791252,0.4886613896065862,DOCK2,0
OK,0,100.41959659915774,0.4874567644915007,WDR86,0
OK,0,100.82566780524041,0.48674214561858026,ADAM28,0
OK,0,98.91430873618172,0.48016863598335713,C11orf96,0
OK,0,98.62377885617776,0.4787260185167974,MCTP2,0
OK,0,97.82028590329173,0.4748850156485393,CACHD1,0
OK,0,97.68503322494668,0.47421883706730655,ABCA6,0
OK,0,97.4370116509914,0.47299809621649486,SORBS1,0
OK,0,97.054331367971,0.4711649400239567,FRMD3,0
OK,0,96.8551582071565,0.46992974391831444,ADAMTS1,0
OK,0,96.67437527055543,0.46931789761883014,SLC12A7,0
OK,0,97.54140840161037,0.46855790997608704,CNN1,0
OK,0,96.38841256498559,0.46790367327575116,LINC01237,0
OK,0,95.88196887748421,0.46546543048874756,ARNT2,0
OK,0,96.41486232857436,0.46503727235569675,SYK,0
OK,0,95.0716888298184,0.46050825838304804,MYH11,0
OK,0,94.73088768069485,0.45987560875856887,FLVCR2,0
OK,0,94.31562028436657,0.45783824522370986,COL12A1,0
OK,0,93.75501195459258,0.45511373534415656,SLC6A12,0
OK,0,93.87887612960827,0.4526370293846658,TLR2,0
OK,0,92.33222205922911,0.4478154956578536,ADAMTS4,0
OK,0,91.98288597852786,0.4464643740358518,FBLN2,0
OK,0,91.86560383260431,0.4459611069836595,EPAS1,0
OK,0,91.82788241125212,0.44573761223426867,TNFRSF19,0
OK,0,91.19033938784976,0.44266532272720377,ISYNA1,0
OK,0,90.63684797008959,0.4381844608998582,APBB1IP,0
OK,0,89.9376172740222,0.43659388704027796,PCBP3,0
OK,0,89.34317714283573,0.4336943851298034,XYLT1,0
OK,0,88.90980129797109,0.4315436641665536,BNC2,0
OK,0,88.78560270665997,0.4309751086674266,FBLN1,0
OK,0,88.67850820126536,0.43044729940819626,GPER1,0
OK,0,88.22525866477598,0.42827726894861656,RIN2,0
OK,0,87.94155335496765,0.42682550476754366,HSD11B1,0
OK,0,87.52693863641882,0.4248430685504456,ADAMTS9,0
OK,0,86.80524838240265,0.4213362749761143,TESC,0
OK,0,86.79838576705481,0.4212552868502372,ABCA9,0
OK,0,86.61739426764393,0.4204120317618472,KCNK2,0
OK,0,86.58100491869615,0.4202899199943413,AL138828.1,0
OK,0,86.99130281054649,0.4201288476126332,FYB1,0
OK,0,87.43994829052052,0.4197228603423698,FGD2,0
OK,0,86.11777086735057,0.4180255676277203,TGFBR3,0
OK,0,85.8115746705359,0.41655452100692525,CNTN4,0
OK,0,85.80990507835519,0.4164658201801427,LTBP2,0
OK,0,85.78624343128544,0.41643088098806086,C7,0
OK,0,85.65137785899996,0.41576499602682365,ABCA10,0
