cell_type,model,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Astrocyte,base,CES3,18.731613231794586,0.6702848157425951,0.1697186323843991,4.238362551570745e-6,0.07390856617429066
Endothelial,base,HIVEP3,12.517442073344561,0.6646324122978198,0.19402863785819718,1.788963292361392e-5,0.052040942174792895
L4_IT,base,MRVI1,83.19106926340346,0.6668011213781264,0.1707139590402576,2.4951720576641382e-6,0.05922540396071598
L4_IT,base,ZNF732,106.36282618514721,0.8164884206878653,0.2354287371061557,7.812985625151286e-6,0.09272451339929547
L6_CT,base,AC079793.1,82.69955514734221,0.8279317850628728,0.21354950796324873,3.5216892449609348e-6,0.05801630862148644
Pvalb,base,GPC6,13198.351208127064,-0.3834261191779879,0.10653055229533534,1.0708788619494389e-5,0.019147314051655966
Pvalb,base,GALNTL6,16415.433296463747,-0.3755765101447286,0.12349802245435954,8.110568666303927e-5,0.03385658315473786
Pvalb,base,MARCH1,4315.032776586569,-0.5030440194465463,0.18653200798026875,1.556272421170779e-4,0.04637691815088922
Pvalb,base,ROBO1,10195.71867908121,-0.25699776070024616,0.1001986068336104,3.6758666645660853e-4,0.07216200525712935
Pvalb,base,CHRM2,2281.903266417856,-0.31992431886587197,0.13474469550385176,5.027635005970568e-4,0.07216200525712935
Pvalb,base,BRINP3,2239.423405449559,-0.28171343745780125,0.13532401789636375,8.949884427440479e-4,0.07243837291131082
Pvalb,base,CHRM3,1989.241474355141,-0.2513441591951892,0.11063746462223498,7.491882309363136e-4,0.07243837291131082
Pvalb,base,TRPM3,6362.282510861022,-0.3539068879035712,0.1795972664420136,0.0011654071047888363,0.07307000893600331
Pvalb,base,ZNF804B,3704.0754540489193,-0.28178634687433146,0.1569308153823281,0.0015068887869159626,0.08419741096892941
Sncg,base,FAM227B,28.64486960311654,0.5354697482971279,0.14054503349130748,4.465674802371733e-6,0.06096092672717653
Sncg,base,AP003066.1,18.448605155662513,-0.6631407501003264,0.18087186798805202,1.0247658204133175e-5,0.06994539107231099
VLMC,base,VEGFA,11.89905610449335,-1.002137103318783,0.22455357352635533,7.026437731243058e-7,0.003909509953663638
L2_3_IT,adjusted,AL159169.3,33.946714828800154,0.5983490753881504,0.13130878127826456,2.1284942103283523e-7,0.005186288992886063
L2_3_IT,adjusted,C1QTNF7,322.4248545245065,1.7363045692289907,0.4236208384276538,1.1727165018800527e-6,0.01428720514240468
L2_3_IT,adjusted,LINC02426,133.68360834025918,1.3466393576213063,0.3670252417948625,5.079494983015832e-6,0.041255658252054586
L2_3_IT,adjusted,AC004461.2,72.25046139949364,-0.4896674069418737,0.13652095805022932,9.329471449293079e-6,0.05683047533336879
L2_3_IT,adjusted,TEX48,227.2365310727559,1.1649093775075006,0.34794664606500036,1.909536068154935e-5,0.06243784946504929
L2_3_IT,adjusted,LYVE1,55.24557932928283,0.8776641080866372,0.2527800228734568,2.177298159775996e-5,0.06243784946504929
L2_3_IT,adjusted,AC025580.2,293.68356615158933,0.6482528331376479,0.19212360897086228,2.3062490568228005e-5,0.06243784946504929
L2_3_IT,adjusted,HSD17B1,149.15252807196867,0.5495087174627892,0.1521855386426071,1.6209275731953637e-5,0.06243784946504929
L2_3_IT,adjusted,BAIAP2L2,425.7623836151482,0.2976357404524013,0.08295860481499713,1.8377951168205675e-5,0.06243784946504929
L2_3_IT,adjusted,LINC01280,82.85297250171735,1.7451787647466213,0.5679924282156025,2.6938176060069398e-5,0.0656375597879651
L2_3_IT,adjusted,ALDOB,180.8883614442924,1.2422635441360117,0.4082906579835186,3.0321399157484412e-5,0.06716465562466047
L2_3_IT,adjusted,AC008691.1,1848.0799322175483,-0.49642765783574117,0.15246515383840112,3.8804890644686925e-5,0.069485471758772
L2_3_IT,adjusted,CAV2,631.6677277277178,0.5204737466833661,0.157754079590533,4.129053374154164e-5,0.069485471758772
L2_3_IT,adjusted,AL591543.1,39.51214394240944,1.334106139189374,0.4818139760985925,4.277608455969711e-5,0.069485471758772
L2_3_IT,adjusted,FPR3,48.432512356007855,1.2925986785803503,0.4081792267847058,4.093349475610396e-5,0.069485471758772
L2_3_IT,adjusted,CARS-AS1,38.365523058216105,1.115045506611829,0.3677274076413171,5.812591591313845e-5,0.08345128777953334
L2_3_IT,adjusted,TCN1,16.564796168352327,1.156776792055919,0.3884313252255759,5.822342166346823e-5,0.08345128777953334
L2_3_IT,adjusted,LINC00824,217.38851653636357,0.7232549163426499,0.22606341337992228,6.316165016456547e-5,0.0847813995680252
L2_3_IT,adjusted,MRVI1,92.38251829870934,0.5510153674269785,0.18205826776073078,7.079863466295306e-5,0.0847813995680252
L2_3_IT,adjusted,PIGBOS1,249.4459764313339,0.34679890857994394,0.11061690410773907,7.306941602760114e-5,0.0847813995680252
L2_3_IT,adjusted,ACSM1,86.33462274010563,0.6194471015961233,0.20075963199087013,6.997609570253033e-5,0.0847813995680252
L2_3_IT,adjusted,GBP2,44.85274495445247,1.0483913640175178,0.36377724664464195,9.500864200391528e-5,0.08776927194856017
L2_3_IT,adjusted,GYPB,259.72815730262255,0.9736715177026526,0.33750392649673827,8.755799151306579e-5,0.08776927194856017
L2_3_IT,adjusted,CTHRC1,120.1125693353184,0.865563665043847,0.31093420568295244,9.169507295554914e-5,0.08776927194856017
L2_3_IT,adjusted,ACTA2,294.82535769390347,0.8111243447000398,0.27643002932943855,8.631150882667838e-5,0.08776927194856017
L2_3_IT,adjusted,AC008758.2,91.61507465673898,0.7252872460748178,0.24715753741862462,9.72572577612708e-5,0.08776927194856017
L2_3_IT,adjusted,CELA2B,166.629502408838,0.7789024990168418,0.3061411518633109,3.074823402285059e-4,0.09251524884326515
L2_3_IT,adjusted,AL031985.4,230.31357745319852,0.9428932357931874,0.34966341482713087,1.4453175838850633e-4,0.09251524884326515
L2_3_IT,adjusted,ZFP69,172.23916758430818,0.39602182686998155,0.1603761002096306,4.229728053117029e-4,0.09251524884326515
L2_3_IT,adjusted,AC103591.4,33.8794417671357,0.9977603709750413,0.38476628124066015,1.9981454342328647e-4,0.09251524884326515
L2_3_IT,adjusted,GBP7,22.878667918761106,0.8869287513565489,0.32022676495806285,1.4751562817606737e-4,0.09251524884326515
L2_3_IT,adjusted,AC092802.2,64.25075281858754,0.9771984790204035,0.3860377322016327,3.081094970491563e-4,0.09251524884326515
L2_3_IT,adjusted,SLC16A4,457.0568941878625,0.3548727088241791,0.14709044106448968,5.375456486997246e-4,0.09251524884326515
L2_3_IT,adjusted,AP4B1-AS1,215.32094447741437,0.5074617094474319,0.20737551980521876,4.426254356455993e-4,0.09251524884326515
L2_3_IT,adjusted,AL450992.2,213.5400765507837,0.6393029850181094,0.30475397556301936,6.910356763307172e-4,0.09251524884326515
L2_3_IT,adjusted,AL360091.3,273.55472766413646,0.4181036213622748,0.1792198427091748,4.944727778455069e-4,0.09251524884326515
L2_3_IT,adjusted,KRTCAP3,42.127563781759164,0.5509917391240629,0.20979780628845895,2.5805570182350484e-4,0.09251524884326515
L2_3_IT,adjusted,GALM,527.9058080717207,0.4666172145260552,0.18719520909518927,3.925065474663143e-4,0.09251524884326515
L2_3_IT,adjusted,HAAO,224.88826812988415,0.5632960508718314,0.2433607080623218,3.993052061991896e-4,0.09251524884326515
L2_3_IT,adjusted,AC018682.1,143.4094970452748,0.9120112707365309,0.4012583462373731,3.0510978796432803e-4,0.09251524884326515
L2_3_IT,adjusted,C2orf74,1529.7849937400165,-0.31546530597522454,0.11582282022204615,2.0778776837057013e-4,0.09251524884326515
L2_3_IT,adjusted,ANKRD53,133.12180686685153,0.9204245312790647,0.39568970795273795,4.3043436089014274e-4,0.09251524884326515
L2_3_IT,adjusted,MERTK,650.076818920669,0.4169375555937339,0.1805366347291524,6.084414485384343e-4,0.09251524884326515
L2_3_IT,adjusted,MAP3K20-AS1,61.102822728171184,0.6309639320807928,0.27199548974348453,4.148191854787957e-4,0.09251524884326515
L2_3_IT,adjusted,LANCL1-AS1,498.27715649975505,0.7424376419889291,0.32998568072286727,4.346399993991053e-4,0.09251524884326515
L2_3_IT,adjusted,CXCR2,30.628185939900444,-0.36524891450095687,0.16059508202253353,5.531785449340897e-4,0.09251524884326515
L2_3_IT,adjusted,CAV3,506.25888380013885,0.8270699867320693,0.3865956693366364,6.686277743996815e-4,0.09251524884326515
L2_3_IT,adjusted,PRKAR2A-AS1,53.18865973485327,0.4150337129346601,0.18349595467935148,6.850003139644205e-4,0.09251524884326515
L2_3_IT,adjusted,ASB14,89.41697985568828,0.7555825043873933,0.3580588833535546,6.293779589611338e-4,0.09251524884326515
L2_3_IT,adjusted,AC021660.2,17.233902385634348,0.997714366879427,0.3657514127338985,1.3267331524406065e-4,0.09251524884326515
L2_3_IT,adjusted,AC074044.1,92.60212287805118,0.7044002068147527,0.26848641316073907,2.5839402872396066e-4,0.09251524884326515
L2_3_IT,adjusted,UPK1B,90.65728492032933,0.8531251303699043,0.3363261584377148,2.854396303069973e-4,0.09251524884326515
L2_3_IT,adjusted,COL6A6,241.22871620111573,0.6900726261788507,0.2988307801175138,5.198312732515554e-4,0.09251524884326515
L2_3_IT,adjusted,P2RY14,2083.6251121084592,0.8527026694455477,0.41483757016151285,6.272302841949259e-4,0.09251524884326515
L2_3_IT,adjusted,AC233280.1,176.01527006309854,0.7395551159043282,0.2968678197385841,2.723436888264801e-4,0.09251524884326515
L2_3_IT,adjusted,LINC02270,20.396364014558834,0.8014845868255582,0.34031756947178826,5.620369812642864e-4,0.09251524884326515
L2_3_IT,adjusted,AC107068.2,466.54916023998805,0.8734091675872474,0.455398587100131,6.502195606597197e-4,0.09251524884326515
L2_3_IT,adjusted,DANCR,679.3388217390615,0.4704906409869129,0.18842399536407084,4.389552074251579e-4,0.09251524884326515
L2_3_IT,adjusted,AC110760.1,89.58900244497389,0.833207153989591,0.46661715941294457,6.650966370572401e-4,0.09251524884326515
L2_3_IT,adjusted,AC139722.1,50.01113625625325,0.7593952160175219,0.3146818524394123,3.27722439089902e-4,0.09251524884326515
L2_3_IT,adjusted,GYPE,366.18749127183884,0.574676184484553,0.20778918574682134,1.7361797673437113e-4,0.09251524884326515
L2_3_IT,adjusted,AC097537.1,552.7323293256494,0.8545973846123075,0.3928219477149452,4.589191654309034e-4,0.09251524884326515
L2_3_IT,adjusted,AC093797.1,84.63956944251572,1.0300296275162395,0.42997486255613787,2.492288026966809e-4,0.09251524884326515
L2_3_IT,adjusted,MIR4458HG,339.3470442168758,0.3197205661452587,0.13997504400753172,6.155688990521848e-4,0.09251524884326515
L2_3_IT,adjusted,LINC02221,25.771912056750626,0.9049470759541979,0.3900743311048078,5.097184800835863e-4,0.09251524884326515
L2_3_IT,adjusted,OSMR,40.65967573275245,0.5283461593536317,0.23104356653138852,5.262464905746465e-4,0.09251524884326515
L2_3_IT,adjusted,FAM81B,140.88700881152772,0.7219413714267205,0.32737842929922767,5.719758360294828e-4,0.09251524884326515
L2_3_IT,adjusted,MYOT,170.0194412433766,0.6547721383516041,0.2980855057907336,5.430496998451345e-4,0.09251524884326515
L2_3_IT,adjusted,AC005609.1,30.45369208807059,1.0907217785616288,0.40616022975432153,1.1710480528398062e-4,0.09251524884326515
L2_3_IT,adjusted,AC113423.2,20.62820012281804,1.0239315874290926,0.4639818263481385,3.8402526297085757e-4,0.09251524884326515
L2_3_IT,adjusted,AL662791.1,35.84093467248926,-0.651179073130154,0.2895893273100628,5.82361362590652e-4,0.09251524884326515
L2_3_IT,adjusted,AL662884.5,72.64528989171937,1.0966153616719783,0.5111700541408398,5.443436626397336e-4,0.09251524884326515
L2_3_IT,adjusted,AL662884.3,81.43920049681216,0.3488906301892907,0.14207751537117574,4.8516160574803204e-4,0.09251524884326515
L2_3_IT,adjusted,AL591242.1,541.871658896348,0.6495349630343303,0.24303456644524102,1.6570406826321962e-4,0.09251524884326515
L2_3_IT,adjusted,GFRAL,43.61263889255244,0.8273604181776291,0.3580243317554411,5.73212350175048e-4,0.09251524884326515
L2_3_IT,adjusted,AL139274.2,98.69188064614221,0.5669831966696447,0.22069481422565723,3.301543044941028e-4,0.09251524884326515
L2_3_IT,adjusted,AL024508.1,223.51668573191975,0.9415236702562106,0.3387461571859815,1.192898503122784e-4,0.09251524884326515
L2_3_IT,adjusted,AL078581.4,202.29544294846139,0.8281123141155552,0.3494375750916806,4.172292164849985e-4,0.09251524884326515
L2_3_IT,adjusted,AC006042.2,66.93193331203342,0.5926133661095747,0.26321949381215715,5.90606995108092e-4,0.09251524884326515
L2_3_IT,adjusted,AC005014.4,193.70891449817964,0.8892526275817603,0.4528099722840071,6.433499016026733e-4,0.09251524884326515
L2_3_IT,adjusted,AC004691.1,16.520274584331705,0.8926158241395198,0.42234617416545456,4.6962592148176285e-4,0.09251524884326515
L2_3_IT,adjusted,TRG-AS1,19.795660883625704,0.6872598165211491,0.2842219693202673,4.550128752500887e-4,0.09251524884326515
L2_3_IT,adjusted,CYP3A7,133.68887810263857,0.9058496174008723,0.428663589748379,5.359876721250126e-4,0.09251524884326515
L2_3_IT,adjusted,AC002463.1,1019.6819005826137,0.7314520442435064,0.33797793964762524,6.857971306581975e-4,0.09251524884326515
L2_3_IT,adjusted,ADAM7,127.98594270668187,0.94174124389541225,0.3718962645323681,2.5546435274375614e-4,0.09251524884326515
L2_3_IT,adjusted,CCNE2,147.06177876283226,0.5968514432891288,0.2386710558616029,3.486649145941749e-4,0.09251524884326515
L2_3_IT,adjusted,MAL2-AS1,303.58069870867286,0.861947597783132,0.32306226362790696,1.9436599581710044e-4,0.09251524884326515
L2_3_IT,adjusted,AC104316.1,177.92413854921017,0.9272609684427846,0.45727488449304426,5.545007030078984e-4,0.09251524884326515
L2_3_IT,adjusted,AC234917.3,41.74452972441509,0.38385104722768026,0.1613949049537929,6.714368092104429e-4,0.09251524884326515
L2_3_IT,adjusted,KCNV2,258.06889672526125,0.8292743072974873,0.32814036286929466,1.9630577410549677e-4,0.09251524884326515
